"plate_well","plate","well","identifier","hit","welltype","create_date","fp","fp_1","fi","fi_1","p","p_1","s","s_1"
"1797K23","1797","K23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1797K23","0","P","2015-08-31 19:12","199.0","201.0","31329561.0","31338834.0","13625390.0","13621904.0","4078781.0","4095026.0"
"1797J23","1797","J23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1797J23","0","P","2015-08-31 19:12","206.3","198.3","30215852.0","30239613.0","13114767.0","13153684.0","3986318.0","3932245.0"
"1797I23","1797","I23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1797I23","0","P","2015-08-31 19:12","199.5","200.7","31149173.0","31094063.0","13544926.0","13516450.0","4059321.0","4061163.0"
"1797H23","1797","H23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1797H23","0","P","2015-08-31 19:12","196.3","198.0","30680917.0","30452060.0","13352958.0","13247176.0","3975001.0","3957708.0"
"1797G23","1797","G23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1797G23","0","P","2015-08-31 19:12","196.3","199.1","31022225.0","30867271.0","13501423.0","13423843.0","4019379.0","4019585.0"
"1797E23","1797","E23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1797E23","0","P","2015-08-31 19:12","194.0","204.0","31654888.0","31471311.0","13785189.0","13668130.0","4084510.0","4135051.0"
"1797C23","1797","C23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1797C23","0","P","2015-08-31 19:12","193.4","194.6","30767057.0","30508302.0","13400833.0","13283837.0","3965391.0","3940628.0"
"1795D23","1795","D23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1795D23","0","P","2015-08-31 19:12","168.9","187.6","31201215.0","30350745.0","13677097.0","13239890.0","3847021.0","3870965.0"
"1795C23","1795","C23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1795C23","0","P","2015-08-31 19:12","173.3","187.9","32453286.0","31106865.0","14210057.0","13568787.0","4033172.0","3969291.0"
"1795B23","1795","B23","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1795B23","0","P","2015-08-31 19:12","164.1","181.1","33461492.0","33018067.0","14685523.0","14428076.0","4090446.0","4161915.0"
